,token,first_seen,last_seen,tx_count,total_value,max_value_in_tx
0,1INCH Token (1INCH),2021-03-10 15:12:47.654,2021-03-23 07:41:23.862,5,72.75575502609999,25.376158551
1,1INCH Token ... (st1INC...),2021-03-14 22:53:33.962,2021-03-14 22:53:33.962,1,24.752248238,24.752248238
2,1inch Liquid... (1LP-ET...),2021-03-10 16:00:47.494,2021-03-10 16:00:47.494,1,11.2536015279,11.2536015279
3,ACF (ACF),2021-03-21 21:25:36.942,2021-03-21 21:25:36.942,1,7.0392758016,7.0392758016
4,ACryptoS (ACS),2021-03-17 13:17:11.955,2021-03-21 13:15:30.228,4,1.1496124347000003,0.7905224213
5,ACryptoS Swi... (acsSXP),2021-03-20 20:54:54.103,2021-03-20 20:54:54.103,1,959.1434389,959.1434389
6,ALICE (ALICE),2021-03-15 11:21:13.346,2021-03-21 21:25:36.907,8,70.93316300000001,40.610072
7,AS Roma (ASR),2021-03-14 14:59:31.327,2021-03-14 14:59:31.327,1,116.26,116.26
8,AUTOv2 (AUTO),2021-03-11 05:26:53.756,2021-03-23 14:30:50.704,8,0.0650365498,0.0172348577
9,AceD Enterta... (AceD),2021-03-21 13:15:30.210,2021-03-24 07:02:51.631,2,60413.6,35413.6
10,Albert Einst... (E=MC2),2021-03-18 11:44:29.751,2021-03-18 11:44:29.751,1,12808088127.9837,12808088127.9837
11,AllianceBloc... (bALBT),2021-03-10 22:19:25.609,2021-03-10 22:19:25.609,1,435.8289943238,435.8289943238
12,AlpacaToken (ALPACA),2021-03-11 05:26:53.853,2021-03-24 07:02:54.482,8,371.84014413131644,121.06164383561644
13,AlphaToken (ALPHA),2021-03-17 07:10:46.294,2021-03-23 14:30:50.638,2,1108.0278639759001,933.3318
14,Alto Coin (ALTO),2021-03-10 22:19:25.629,2021-03-10 22:19:25.629,1,19.9679871949,19.9679871949
15,Ankr (ANKR),2021-03-17 13:17:11.967,2021-03-17 13:17:11.967,1,3.8678313261,3.8678313261
16,ApeDoge (APEDOG...),2021-03-10 20:45:53.481,2021-03-10 20:45:53.481,1,1.0,1.0
17,ApeSwapFinan... (APE-LP),2021-03-15 22:30:35.004,2021-03-18 19:55:32.610,2,7.303733363175294,7.3019521927
18,ApeSwapFinan... (BANANA),2021-03-10 16:00:47.620,2021-03-24 07:02:54.536,12,5641.479818710301,5342.3692922542
19,ArgonToken (ARGON),2021-03-14 14:59:31.198,2021-03-14 14:59:31.198,1,3431.4896847744,3431.4896847744
20,Artivas (ARTS),2021-03-17 07:10:46.346,2021-03-17 07:10:46.346,1,20.0,20.0
21,Auto Stake (AStake),2021-03-17 13:17:12.016,2021-03-17 13:17:12.016,1,37914051121.224495,37914051121.224495
22,BABE Token (BABE),2021-03-10 15:12:47.485,2021-03-15 22:30:32.116,3,582.2602325705453,346.3308208058453
23,BELT Token (BELT),2021-03-11 11:46:57.091,2021-03-20 10:43:28.974,8,34.671969634700005,13.3359492729
24,BINANCEPUNKS (ß),2021-03-14 22:07:23.285,2021-03-14 22:07:23.285,1,1.0,1.0
25,BLinkToken (blink),2021-03-14 14:59:31.331,2021-03-21 11:12:26.988,4,12190.026463999999,10000.0
26,BNB Cash (BNBC),2021-03-18 03:35:33.411,2021-03-19 18:21:46.310,2,0.0311966596,0.0188122604
27,BSC Conflux (bCFX),2021-03-24 07:02:54.590,2021-03-24 07:02:54.590,1,108.3,108.3
28,BSCPAD.com (BSCPAD),2021-03-14 14:59:31.328,2021-03-23 07:41:23.798,3,238.6284538967,189.3478036966
29,BSWAP (BSWAP),2021-03-18 19:55:32.568,2021-03-18 19:55:32.568,1,4.8931243369,4.8931243369
30,BTesta (BTESTA),2021-03-22 13:16:31.280,2021-03-22 13:16:31.280,1,37.2,37.2
31,BUX Token (BUX),2021-03-10 20:45:53.460,2021-03-10 20:45:53.460,1,90.1021020578,90.1021020578
32,Bakery LPs (BLP),2021-03-10 15:12:47.644,2021-03-21 11:12:27.103,5,0.05359718873820262,0.0342
33,BakeryToken (BAKE),2021-03-11 05:26:53.800,2021-03-23 18:38:53.434,9,3799.6421744989007,2306.1041744831
34,Balloon Toke... (BLN),2021-03-15 22:30:35.026,2021-03-15 22:30:35.026,1,0.0029475,0.0029475
35,Bamboo Token (BBOO),2021-03-23 18:38:53.574,2021-03-23 18:38:53.574,1,19.7052631579,19.7052631579
36,Bat True Dol... (BTD),2021-03-15 11:21:13.198,2021-03-21 15:17:48.100,4,360.8178152493999,166.8668429488
37,Bat True Sha... (BTS),2021-03-11 11:46:57.153,2021-03-23 14:30:50.590,5,10.4788630324,7.0
38,Believer (BLVR),2021-03-18 17:52:22.030,2021-03-18 17:52:22.030,1,223.213,223.213
39,Bella Protoc... (BEL),2021-03-15 16:22:10.488,2021-03-15 16:22:10.488,1,78.545,78.545
