,token,first_seen,last_seen,tx_count,total_value,max_value_in_tx
0,1INCH Token (1INCH),2021-03-10 15:12:47.654,2021-03-23 07:41:23.862,4,64.5335145008,25.376158551
1,1INCH Token ... (st1INC...),2021-03-14 22:53:33.962,2021-03-14 22:53:33.962,1,24.752248238,24.752248238
2,1inch Liquid... (1LP-ET...),2021-03-10 16:00:47.494,2021-03-10 16:00:47.494,1,11.2536015279,11.2536015279
3,ACF (ACF),2021-03-21 21:25:36.942,2021-03-21 21:25:36.942,1,7.0392758016,7.0392758016
4,ACryptoS (ACS),2021-03-17 13:17:11.955,2021-03-21 13:15:30.228,4,1.1496124347000003,0.7905224213
5,ACryptoS Swi... (acsSXP),2021-03-20 20:54:54.103,2021-03-20 20:54:54.103,1,959.1434389,959.1434389
6,ALICE (ALICE),2021-03-15 11:21:13.346,2021-03-21 21:25:36.907,8,70.93316300000001,40.610072
7,AS Roma (ASR),2021-03-14 14:59:31.327,2021-03-14 14:59:31.327,1,116.26,116.26
8,AUTOv2 (AUTO),2021-03-11 05:26:53.756,2021-03-23 14:30:50.704,8,0.0650365498,0.0172348577
9,AceD Enterta... (AceD),2021-03-21 13:15:30.210,2021-03-24 07:02:51.631,2,60413.6,35413.6
10,Air Finance ... (AIR),2021-03-25 16:07:09.498,2021-03-25 16:07:09.498,1,0.28812000000000004,0.28812000000000004
11,Albert Einst... (E=MC2),2021-03-18 11:44:29.751,2021-03-18 11:44:29.751,1,12808088127.9837,12808088127.9837
12,AllianceBloc... (bALBT),2021-03-10 22:19:25.609,2021-03-10 22:19:25.609,1,435.8289943238,435.8289943238
13,AlpacaToken (ALPACA),2021-03-11 05:26:53.853,2021-03-26 10:41:56.183,10,1820.9271192812164,1448.5861182519
14,AlphaToken (ALPHA),2021-03-17 07:10:46.294,2021-03-23 14:30:50.638,2,1108.0278639759001,933.3318
15,Alto Coin (ALTO),2021-03-10 22:19:25.629,2021-03-10 22:19:25.629,1,19.9679871949,19.9679871949
16,Ankr (ANKR),2021-03-17 13:17:11.967,2021-03-17 13:17:11.967,1,3.8678313261,3.8678313261
17,ApeDoge (APEDOG...),2021-03-10 20:45:53.481,2021-03-10 20:45:53.481,1,1.0,1.0
18,ApeSwapFinan... (APE-LP),2021-03-15 22:30:35.004,2021-03-18 19:55:32.610,2,7.303733363175294,7.3019521927
19,ApeSwapFinan... (BANANA),2021-03-10 16:00:47.620,2021-03-24 07:02:54.536,12,5641.479818710301,5342.3692922542
20,ArgonToken (ARGON),2021-03-14 14:59:31.198,2021-03-14 14:59:31.198,1,3431.4896847744,3431.4896847744
21,Artivas (ARTS),2021-03-17 07:10:46.346,2021-03-17 07:10:46.346,1,20.0,20.0
